user_id,age,gender,province,city,registration_date,member_level,account_balance,credit_score,total_spent,order_count,avg_order_amount,total_quantity,last_order_date,browse,cart,click,favorite,avg_duration_seconds,recency_days,member_level_score,rfm_label
U000001,35,男,湖北,深圳,2022-07-05 22:38:35.747288,铜牌会员,5761.97,611,4558.21,6.0,759.7016666666667,12.0,2026-01-27 22:38:35.864368,6.0,0.0,0.0,3.0,174.44444444444446,37.0,2,潜力用户
U000002,30,男,浙江,厦门,2025-06-20 22:38:35.747288,普通会员,1690.84,674,5265.46,3.0,1755.1533333333334,14.0,2026-02-09 22:38:35.864872,2.0,1.0,1.0,1.0,246.8,24.0,1,潜力用户
U000003,37,女,云南,杭州,2025-12-14 22:38:35.747288,银牌会员,139.39,800,3468.85,1.0,3468.85,3.0,2026-02-16 22:38:35.863358,1.0,0.0,0.0,2.0,129.33333333333334,17.0,3,一般用户
U000004,44,男,江西,福州,2021-12-08 22:38:35.747288,铜牌会员,1114.76,540,18010.620000000003,3.0,6003.540000000001,9.0,2025-12-18 22:38:35.868487,4.0,0.0,5.0,0.0,306.1111111111111,77.0,2,一般用户
U000005,30,男,河南,长沙,2024-07-20 22:38:35.747288,普通会员,2552.27,657,3047.81,2.0,1523.905,5.0,2026-01-11 22:38:35.858737,3.0,1.0,1.0,2.0,141.85714285714286,53.0,1,一般用户
U000006,30,女,湖北,郑州,2024-09-20 22:38:35.747288,铜牌会员,916.99,693,1121.78,1.0,1121.78,5.0,2025-11-21 22:38:35.864872,3.0,1.0,3.0,1.0,317.0,104.0,2,流失风险用户
U000007,44,女,安徽,西安,2024-11-03 22:38:35.747288,银牌会员,1078.54,655,1565.74,1.0,1565.74,5.0,2026-02-04 22:38:35.860334,6.0,2.0,1.0,0.0,255.66666666666666,29.0,3,一般用户
U000008,38,女,江西,苏州,2025-04-24 22:38:35.747288,银牌会员,2482.89,551,1859.05,1.0,1859.05,3.0,2025-09-09 22:38:35.867478,2.0,1.0,3.0,1.0,132.14285714285714,177.0,3,流失风险用户
U000009,28,男,安徽,西安,2021-12-18 22:38:35.747288,铜牌会员,16322.85,611,3518.64,1.0,3518.64,3.0,2026-01-04 22:38:35.863358,5.0,3.0,1.0,0.0,109.88888888888889,60.0,2,流失风险用户
U000010,36,男,湖南,苏州,2025-07-09 22:38:35.747288,铜牌会员,7224.78,454,5805.46,1.0,5805.46,5.0,2025-12-14 22:38:35.861839,0.0,1.0,0.0,1.0,0.0,81.0,2,流失风险用户
U000011,28,男,山西,天津,2022-04-20 22:38:35.747288,普通会员,1926.46,650,17016.21,4.0,4254.0525,9.0,2026-02-24 22:38:35.865879,2.0,0.0,2.0,0.0,347.5,9.0,1,高价值用户
U000012,28,女,广西,深圳,2021-12-10 22:38:35.747288,金牌会员,15141.7,536,18339.95,4.0,4584.9875,13.0,2026-02-27 22:38:35.867478,1.0,2.0,1.0,0.0,278.75,6.0,4,高价值用户
U000013,33,女,广东,青岛,2023-01-14 22:38:35.747288,金牌会员,5187.31,686,6003.5,3.0,2001.1666666666667,5.0,2026-01-04 22:38:35.867478,5.0,0.0,0.0,0.0,266.8,60.0,4,一般用户
U000014,18,女,江苏,长沙,2025-08-09 22:38:35.747288,银牌会员,3038.97,597,2936.25,2.0,1468.125,6.0,2026-02-08 22:38:35.862847,4.0,1.0,1.0,1.0,274.57142857142856,25.0,3,一般用户
U000015,18,男,安徽,北京,2022-10-13 22:38:35.747288,普通会员,3158.38,590,653.77,2.0,326.885,7.0,2026-02-27 22:38:35.857691,2.0,0.0,2.0,0.0,348.5,6.0,1,一般用户
U000016,27,女,福建,西安,2023-09-23 22:38:35.747288,铜牌会员,2644.48,663,4438.78,3.0,1479.5933333333332,6.0,2026-01-04 22:38:35.860334,2.0,1.0,1.0,2.0,181.33333333333334,60.0,2,一般用户
